internal_accession	sample_name	gb_accession	date_added	seq_accession
	gi|2326814974|gb|OL688690.1| Coxsackievirus A6 strain AS546/NC/CHN/2015 VP1 gene, partial cds	OL688690	2024-08-07	OL688690
	gi|2326814976|gb|OL688691.1| Coxsackievirus A6 strain AS640/NC/CHN/2015 VP1 gene, partial cds	OL688691	2024-08-07	OL688691
	gi|2326814978|gb|OL688692.1| Coxsackievirus A6 strain AS641/NC/CHN/2015 VP1 gene, partial cds	OL688692	2024-08-07	OL688692
	gi|2326814980|gb|OL688693.1| Coxsackievirus A6 strain AS643/NC/CHN/2015 VP1 gene, partial cds	OL688693	2024-08-07	OL688693
	gi|2326814982|gb|OL688694.1| Coxsackievirus A6 strain AS164/NC/CHN/2016 VP1 gene, partial cds	OL688694	2024-08-07	OL688694
	gi|2326814984|gb|OL688695.1| Coxsackievirus A6 strain AS013/NC/CHN/2016 VP1 gene, partial cds	OL688695	2024-08-07	OL688695
	gi|2326814986|gb|OL688696.1| Coxsackievirus A6 strain AS600/NC/CHN/2016 VP1 gene, partial cds	OL688696	2024-08-07	OL688696
	gi|2326814988|gb|OL688697.1| Coxsackievirus A6 strain AS264/NC/CHN/2016 VP1 gene, partial cds	OL688697	2024-08-07	OL688697
	gi|2326814990|gb|OL688698.1| Coxsackievirus A6 strain AS265/NC/CHN/2016 VP1 gene, partial cds	OL688698	2024-08-07	OL688698
	gi|2326814992|gb|OL688699.1| Coxsackievirus A6 strain AS323/NC/CHN/2016 VP1 gene, partial cds	OL688699	2024-08-07	OL688699
	gi|2326814994|gb|OL688700.1| Coxsackievirus A6 strain AS495/NC/CHN/2016 VP1 gene, partial cds	OL688700	2024-08-07	OL688700
	gi|2326814996|gb|OL688701.1| Coxsackievirus A6 strain AS539/NC/CHN/2016 VP1 gene, partial cds	OL688701	2024-08-07	OL688701
	gi|2326814998|gb|OL688702.1| Coxsackievirus A6 strain AS559/NC/CHN/2016 VP1 gene, partial cds	OL688702	2024-08-07	OL688702
	gi|2326815000|gb|OL688703.1| Coxsackievirus A6 strain AS560/NC/CHN/2016 VP1 gene, partial cds	OL688703	2024-08-07	OL688703
	gi|2326815002|gb|OL688704.1| Coxsackievirus A6 strain AS603/NC/CHN/2016 VP1 gene, partial cds	OL688704	2024-08-07	OL688704
	gi|2326815004|gb|OL688705.1| Coxsackievirus A6 strain AS694/NC/CHN/2016 VP1 gene, partial cds	OL688705	2024-08-07	OL688705
	gi|2326815006|gb|OL688706.1| Coxsackievirus A6 strain AS697/NC/CHN/2016 VP1 gene, partial cds	OL688706	2024-08-07	OL688706
	gi|2326815008|gb|OL688707.1| Coxsackievirus A6 strain AS741/NC/CHN/2016 VP1 gene, partial cds	OL688707	2024-08-07	OL688707
	gi|2326815010|gb|OL688708.1| Coxsackievirus A6 strain AS742/NC/CHN/2016 VP1 gene, partial cds	OL688708	2024-08-07	OL688708
	gi|2326815012|gb|OL688709.1| Coxsackievirus A6 strain AS743/NC/CHN/2016 VP1 gene, partial cds	OL688709	2024-08-07	OL688709
	gi|2326815014|gb|OL688710.1| Coxsackievirus A6 strain AS744/NC/CHN/2016 VP1 gene, partial cds	OL688710	2024-08-07	OL688710
	gi|2326815016|gb|OL688711.1| Coxsackievirus A6 strain AS099/NC/CHN/2017 VP1 gene, partial cds	OL688711	2024-08-07	OL688711
	gi|2326815018|gb|OL688712.1| Coxsackievirus A6 strain AS126/NC/CHN/2017 VP1 gene, partial cds	OL688712	2024-08-07	OL688712
	gi|2326815020|gb|OL688713.1| Coxsackievirus A6 strain AS151/NC/CHN/2017 VP1 gene, partial cds	OL688713	2024-08-07	OL688713
	gi|2326815022|gb|OL688714.1| Coxsackievirus A6 strain AS160/NC/CHN/2017 VP1 gene, partial cds	OL688714	2024-08-07	OL688714
	gi|2326815024|gb|OL688715.1| Coxsackievirus A6 strain AS227/NC/CHN/2017 VP1 gene, partial cds	OL688715	2024-08-07	OL688715
